source_id,short_cite,title,title_en,publisher,edition,published,landing_url,file_url,local_file,sha256,accessed,license,evidence,note
moea_psd_fy2024,"MOEA, supply-demand report 113年度 (FY2024)",全國電力資源供需報告（113年度）,National Power Supply-Demand Report (FY2024),經濟部 Ministry of Economic Affairs; prepared by 經濟部能源署 Energy Administration,"113年度 (ROC year 113 = 2024): 2024 actuals, outlook 2025-2034",2025 (the text cites data of 2025-08-15); open-data file updated 2026-06-09,https://data.gov.tw/dataset/16437,https://www.moeaea.gov.tw/ECW/populace/opendata/wHandOpenData_File.ashx?set_id=365,official/moea_power_supply_demand_report_20260609.pdf,03b879cf1d57d38e4ec6199274dae3c17853498f67473d63435a21d18bf8fc84,2026-09-24,Government Open Data License v1,downloaded,Required by Article 91 of the Electricity Act. 28 PDF pages; printed page = PDF page - 4. Dataset identifier 313210000G-000048.
moea_psd_fy2025_press,"MOEA, news release on the supply-demand report 114年度 (FY2025)",,MOEA news release on the National Power Supply-Demand Report (FY2025); original title not recorded,經濟部 Ministry of Economic Affairs,114年度 (ROC year 114 = 2025): outlook 2026-2035,2026-06,https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=123066,,,,2026-09-24,,page_opened,Press release only; the full 114年度 report PDF was not yet on data.gov.tw/dataset/16437 at access. Edition inferred from the outlook period 2026-2035.
ndc_2050_pathway,"NDC, Taiwan's 2050 net-zero pathway (2022)",臺灣2050淨零排放路徑及策略總說明,Taiwan's Pathway to Net-Zero Emissions in 2050,國家發展委員會 National Development Council,,2022-03,https://ncsd.ndc.gov.tw/Fore/nsdn/about0/2050Path,https://ncsd.ndc.gov.tw/_ofu/download/about0/2050Path/%E8%87%BA%E7%81%A32050%E6%B7%A8%E9%9B%B6%E6%8E%92%E6%94%BE%E8%B7%AF%E5%BE%91%E5%8F%8A%E7%AD%96%E7%95%A5%E7%B8%BD%E8%AA%AA%E6%98%8E.pdf,,,2026-09-24,,search_summary,"The 60-70% renewable share comes from a search summary. The PDF could not be downloaded by script (HTTP 403, bot protection, 2026-09-24): to verify by hand."
moeaea_generation_annual,"Energy Administration, 發電量年資料 (annual generation)",發電量年資料,Annual electricity generation,經濟部能源署 Energy Administration,2005-2025,dataset updated 2026-09-23,https://data.gov.tw/dataset/16481,https://www.moeaea.gov.tw/ECW/populace/opendata/wHandOpenData_File.ashx?set_id=70,official/moeaea_generation_by_source_annual.csv,60fe2f20455f83fe08c69eb92d08a836720b4a31880213ae31abb8a478ceb326,2026-09-24,Government Open Data License v1,downloaded,Dataset identifier 313210000G-000063.
moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",發電裝置容量年資料,Annual installed generating capacity,經濟部能源署 Energy Administration,2005-2025,dataset updated 2026-09-23,https://data.gov.tw/dataset/16480,https://www.moeaea.gov.tw/ECW/populace/opendata/wHandOpenData_File.ashx?set_id=69,official/moeaea_capacity_by_source_annual.csv,1916e1518df20fe23fa7fe7256916036e53d5d42f3d5cf60096ee536c93dcb89,2026-09-24,Government Open Data License v1,downloaded,Dataset identifier 313210000G-000062.
moeaea_indicators_annual,"Energy Administration, 能源指標年資料 (annual energy indicators)",能源指標年資料,Annual energy indicators,經濟部能源署 Energy Administration,2005-2025,dataset updated 2025-08-26,https://data.gov.tw/dataset/8308,https://www.moeaea.gov.tw/ECW/populace/opendata/wHandOpenData_File.ashx?set_id=13,official/moeaea_energy_indicators_annual.csv,973f4c9531079a4c3f1eeaa985a91bb1aac97d8e83f2c6ed20383e4748930218,2026-09-24,Government Open Data License v1,downloaded,Dataset identifier 313210000G-000008.
taipower_peak_annual,"Taipower, 歷年尖峰負載及備用容量率 (annual peak load)",台灣電力公司歷年尖峰負載及備用容量率,Taipower annual peak load and reserve margin,台灣電力公司 Taipower,1982-2025,dataset updated 2025-07-15,https://data.gov.tw/dataset/8307,https://service.taipower.com.tw/data/opendata/apply/file/d003002/001.csv,official/taipower_peak_load_by_year.csv,2144db03a94d9fd95da00e402a98e31a748ee987b8778eb1cc57631514758929,2026-09-24,Government Open Data License v1,downloaded,Dataset identifier 313310000K-000003.
gegis_ssp2_26,"Mattsson et al. (2021), GEGIS demand, via the PyPSA-Earth data bundle",GlobalEnergyGIS synthetic hourly electricity demand (SSP2-2.6),GlobalEnergyGIS synthetic hourly electricity demand (SSP2-2.6),"Mattsson, Verendel, Hedenus, Reichenberg (Chalmers); distributed with PyPSA-Earth",prediction years 2030/2040/2050; weather years 2011/2013/2018,2021,https://github.com/niclasmattsson/GlobalEnergyGIS,,data/ssp2-2.6/<year>/era5_<weather year>/Asia.csv,,2026-09-24,,model_input,"Method: Mattsson N. et al. (2021), An autopilot for energy models, Energy Strategy Reviews 33:100606, doi:10.1016/j.esr.2020.100606. A model projection, not an official Taiwan forecast."
derived_moea_growth,Derived by this project,Official growth rate applied to 2024 generation,Official growth rate applied to 2024 generation,this repository (pypsa_tw/data/build_timeseries.py),,,,,,,,,derived,Not published by anyone: 1.7%/yr from moea_psd_fy2024 (p. 7) applied to 2024 national generation from moeaea_generation_annual.
smctw_2026_outlook,"Science Media Center Taiwan, article on the 114年度 outlook",,Science Media Center Taiwan article on the FY2025 outlook; original title not recorded,台灣科技媒體中心 Science Media Center Taiwan,,2026,https://smctw.tw/19954/,,,,2026-09-24,,search_summary,"Secondary source reporting the MOEA 114年度 figures; value taken from a search summary, page not read. To verify against the MOEA report once published."
spglobal_2024_tw_lng,"S&P Global, 2024, Taiwan LNG blockade risk",,Taiwan vulnerable to LNG supply risks in the event of a maritime blockade,S&P Global Commodity Insights,,2024-05-30,https://www.spglobal.com/energy/en/news-research/latest-news/lng/053024-taiwan-vulnerable-to-lng-supply-risks-in-the-event-of-a-maritime-blockade,,,,2026-09-24,,search_summary,LNG stock about 11 days of use. Used for lng_stock_days = 11. To verify.
moeaea_lng_safety_stock,"Energy Administration, natural gas safety stock",,Natural gas safety stock rules (page to confirm),經濟部能源署 Energy Administration,,,https://www.moeaea.gov.tw/ECW/english/content/Content.aspx?menu_id=8677,,,,2026-09-24,,search_summary,"Legal minimum of 7 days (2019), rising to 14 days by 2027. The page was not read and the URL is to confirm."
taipeitimes_2022_coal_stock,"Taipei Times, 2022-08-04, Taipower fuel stocks",,Article on Taipower's fuel stocks during the August 2022 drills,Taipei Times,,2022-08-04,https://www.taipeitimes.com/News/biz/archives/2022/08/04/2003782917,,,,2026-09-24,,search_summary,Coal stock about 41 days (Taipower). Used for coal_stock_days = 41. To verify.
taipeitimes_2026_oil_stock,"Taipei Times, 2026-03-06, oil reserves",,Article on Taiwan's oil reserves,Taipei Times,,2026-03-06,https://www.taipeitimes.com/News/biz/archives/2026/03/06/2003853325,,,,2026-09-24,,search_summary,Oil stock over 100 days. Used for oil_stock_days = 100. To verify.
gti_2022_stockpiles,"Global Taiwan Institute, 2022, strategic energy stockpiles",,Assessing Taiwan's strategic energy stockpiles,Global Taiwan Institute,,2022-05,https://globaltaiwan.org/2022/05/assessing-taiwans-strategic-energy-stockpiles/,,,,2026-09-24,,search_summary,Oil 146 days (2022); Petroleum Administration Act: 60 days for industry and 30 days for government. To verify.
moeaea_energy_balance,"Energy Administration, energy balance 1982-2025 (toe units)",能源統計年報（平衡表）3-02 能源平衡表(公噸油當量單位)(071-114),"Energy Statistics Annual Report (energy balance), table 3-02: energy balance in tonnes of oil equivalent, 1982-2025","經濟部能源署 Energy Administration, Ministry of Economic Affairs",071-114 (1982-2025); one sheet per year; industry classification revised from 2018 (107),2026-09-07 (115.09.07),https://ea01.moeaea.gov.tw/a0303/02/publication/annually/,https://ea01.moeaea.gov.tw/a0303/02/api/files/y_3-02.%E8%83%BD%E6%BA%90%E5%B9%B3%E8%A1%A1%E8%A1%A8(%E5%85%AC%E5%99%B8%E6%B2%B9%E7%95%B6%E9%87%8F%E5%96%AE%E4%BD%8D)(071-114).xlsx,official/moeaea_energy_balance_toe_1982_2025.xlsx,3387697cde6fa17e0d881bb3928f43c61155d39017f19c75cc8e33abfb008714,2026-09-25,Government Open Data License v1,downloaded,"1 toe = 10^7 kcal = 11.63 MWh (electricity counted at 860 kcal/kWh). Rows = flows and sectors (item numbers), columns = products; parsed by label and checked in build_timeseries.py (sectors add up to final consumption, fuels to each sector's total)."
